Genehmigung des Protokolls der vorangegangenen Sitzung	Adoption of the Minutes of the previous sitting
Die für den europäischen Bauern bedeutsamste statistische Angabe ist die Kennziffer Ernte.	Mr President, the ELDR group supports this report.
Als Finnland Mitglied der EU wurde, mußten wir uns aufgrund der schlechten Ernten der Vorjahre mit einem Niveau zufriedengeben, das nicht dem der normalen Jahre entspricht.	Mr President, rapporteur, everyone here agrees that we should highlight the need to have statistics for agriculture, at a Community level, that are as precise, as reliable and as coherent as possible, so that we can effectively assess the consequences of decisions taken under the CAP, particularly on rural areas.
Diese Kennziffern müßten vielmehr auf ein reales Niveau angehoben werden oder man hätte beginnen müssen, die Grundlage für die gesamte Anwendung des Ernteindex neu und den Begriff der Hektarbeihilfen so zu definieren, daß er den Fall des Getreidepreises kompensiert.	European agriculture is not uniform.
Wir können uns nicht für Jahrzehnte verpflichten, aufgrund von in der Vergangenheit erfolgten Preissenkungen die Erzeuger in den besten Getreidegebieten Europas zu stützen.	On the contrary, it is extremely diverse.
Am übersichtlichsten wäre es, die Hektarbeihilfen im gesamten Gebiet der EU zu vereinheitlichen.	It is therefore essential that statistics are accurate enough in terms of land, and compiled in a harmonised way, for us to be able to obtain judicious analyses by production type and by ecosystem.
Herr Präsident, die Fraktion der ELDR unterstützt diesen Bericht.	In 1996, the European Parliament adopted a report by Mr Jové Perez whose proposals aimed to make European statistics much more accurate and reliable.
Herr Präsident, Frau Berichterstatterin, werte Kolleginnen und Kollegen, alle sind sich hier darüber einig, daß wir auf Gemeinschaftsebene eine möglichst präzise, zuverlässige und kohärente Agrarstatistik brauchen, um die Auswirkungen der im Rahmen der GAP gefaßten Beschlüsse, insbesondere auf den ländlichen Raum, wirksam messen zu können.	Unfortunately, the Commission' s rather unambitious proposal that has been submitted to us has taken no account of it.
Die europäische Landwirtschaft ist keineswegs einheitlich, sondern im Gegenteil äußerst vielfältig.	This is why we shall support all of the amendments put forward by the Committee on Agriculture and Rural Development as well as the one by Mr Jové Perez.
Deshalb kommt es wesentlich darauf an, daß die Statistik auf territorialer Ebene auf harmonisierter Grundlage hinreichend gegliedert ist, um uns sachdienliche Analysen nach Erzeugungsart und nach Ökosystem zu ermöglichen.	Indeed, it seems essential to us that the wealth of information stemming from the implementation of the CAP aid should be made use of as a source of statistics.
Bereits 1996 hatte das Europäische Parlament einen Bericht unseres Kollegen Jové Perez angenommen, der darauf abzielte, die europäische Statistik sehr viel präziser und effizienter zu gestalten.	The cost to the Community budget would be almost nothing and statistical secrecy would be guaranteed through the data being incorporated.
Leider trägt der uns vorliegende wenig ambitionierte Vorschlag der Kommission dem in keiner Weise Rechnung.	This is the concern that led our group to table an amendment yesterday concerning the traceability of beef and veal because, as a result of the CAP aid, all animals in the European herd must be identified.
Aus diesem Grunde unterstützen wir sämtliche vom Ausschuß für Landwirtschaft und ländliche Entwicklung vorgelegten Änderungsvorschläge sowie den Vorschlag unseres Kollegen Jové Perez.	This applies to abattoirs, too, for reasons of food and animal safety.
Wir sehen es in der Tat als wesentlich an, daß der Datenfundus, der bei der Umsetzung der GAP­Beihilfen entsteht, als statistische Quelle genutzt wird.	I have not yet understood why the Commission has not accepted that, as of 1 January, these two facts, which have already been made compulsory across the Community, should be used to enable the operational start of traceability.
Daraus würden für den Gemeinschaftshaushalt fast keine Kosten erwachsen, und das statistische Geheimnis bliebe dank der Datenaggregation gewahrt.	It is quite inconsistent to postpone the establishment of compulsory labelling of beef and veal for another year and, at the same time, to condemn France' s application of the precautionary principle, precisely because there is no such compulsory labelling.
Aus dem gleichen Anliegen heraus hat unsere Fraktion gestern einen Änderungsantrag im Rahmen der Rückverfolgbarkeit des Rindfleischs eingebracht, denn zu Zwecken der GAP­Beihilfen werden sämtliche Tiere des gemeinschaftlichen Viehbestandes obligatorisch erfaßt.	If the free movement of products is not accompanied by rigorous labelling, consumers will think it is a confidence trick.
Das gleiche gilt auch für die Schlachthöfe aus gesundheitlichen und tiergesundheitlichen Gründen.	It is regrettable that Commissioner Byrne does not employ his zeal in the service of the health and the interest of European consumers.
Ich habe immer noch nicht begriffen, warum die Kommission nicht damit einverstanden war, daß diese beiden Daten, die ja auf Gemeinschaftsebene bereits zwingend vorgeschrieben sind, ab 1. Januar nächsten Jahres gleichzeitig verwendet werden, um mit der Rückverfolgbarkeit zu beginnen.	Mr President, I too was under the impression that I would be talking about the regulation on hops but, since the issue of statistics has arisen, I feel it is my duty to address it.
Es macht überhaupt keinen Sinn, die Einführung der obligatorischen Kennzeichnung von Rindfleisch noch um ein weiteres Jahr zu verschieben und gleichzeitig Frankreich dafür zu verurteilen, daß es eben aufgrund des Fehlens der obligatorischen Kennzeichnung das Vorsorgeprinzip anwendet.	As we all know, statistics often have different interpretations which can mean just what we want them to mean.
Der freie Güterverkehr gerät, wenn er nicht mit einer konsequenten Etikettierung einhergeht, für den Verbraucher zu einem Täuschungsmanöver.	If this is the case, then inconsistent statistics will only exacerbate the problem.
Es ist bedauerlich, daß Kommissionsmitglied Byrne sich nicht stärker für die Gesundheit und die Interessen der europäischen Verbraucher engagiert.	This is why I also agree that statistics on the movement, policies and trade of agricultural products must be as consistent as possible.
Herr Präsident, eigentlich wollte ich erst bei der Verordnung über Hopfen das Wort ergreifen, aber jetzt geht es um die Statistik, und da muß ich meine Pflicht erfüllen.	It would be ideal if each State did not, statistically at least, paint a different picture of our agricultural economy.
Statistiken können bekanntlich insofern unterschiedlich ausgelegt werden, als das belegt werden soll, was derjenige, der sie auswertet, nachweisen möchte.	Then, despite any diverse interpretations, we would at least have one true common version of the facts which would help those wishing to examine in closer detail what those statistics actually represent.
Wenn dies zutrifft und wir andererseits nicht einmal über einheitliche Statistiken verfügen, dann potenziert sich das Problem.	I agree, therefore, that we should adopt the regulation, and I also agree with the comments on the amendments which have been made so that the Commission can see to it that the statistics paint as uniform and reliable a picture as possible.
Deshalb sollten wir auch meiner Meinung nach die Statistiken, die den Warenverkehr, die Politik und den Handel mit unseren Agrarerzeugnissen betreffen, weitgehend einheitlich gestalten, und es wäre zu begrüßen, wenn zumindest bei den Statistiken nicht jeder Staat über eine eigene Darstellung der Fakten in bezug auf unsere Landwirtschaft verfügte.	Mr President, technical action plans were established for statistics in 1996, 1997, 1998 and 1999.
Ließe sich dies erreichen, dann hätten wir, selbst bei unterschiedlichen Interpretationen, zumindest eine einheitliche Darstellung, was denjenigen entgegenkäme, die das, was sich hinter den Statistiken verbirgt, richtig deuten wollen.	This is a sign of foresight, but it also shows that developments have been so rapid in recent years that standing still really means going backwards.
Folglich bin ich damit einverstanden, daß wir dieser Verordnung zustimmen, schließe mich aber auch den Bemerkungen in den vorgelegten Änderungsanträgen an, damit so die Kommission selbst dafür Sorge trägt, daß die statistische Aufbereitung so einheitlich und zuverlässig wie möglich erfolgt.	This area can justly be described by the phrase 'never finished, always on the way' .
Herr Präsident, für die Statistik 1996, 1997, 1998 und 1999 sind technische Aktionspläne entwickelt worden.	The European Union ought, as quickly as possible, to be in possession of common statistical material which is comprehensive in all areas.
Das deutet auf Weitblick hin, zeigt aber auch, daß die Entwicklung in diesen Jahren so schnell vor sich geht, daß Stillstand in Wirklichkeit Rückschritt ist.	The Commission says that the Community' s agricultural statistics should continue to be adapted in the years 2000-2002.
Dieser Bereich kann zu Recht mit den Worten beschrieben werden: "Niemals fertig, immer unterwegs ".	This means that we are talking here about extending these.
Die Union braucht so schnell wie möglich gemeinsames statistisches Material, das alle Bereiche abdeckt.	If for a moment we look back to 1957 when the Treaty of Rome came into being, it was in fact the agricultural sphere which was the first big area upon which agreement was reached.
Die Kommission spricht davon, daß die Anpassung des statistischen Materials für die Landwirtschaft der Gemeinschaft in den Jahren 2000-2002 fortgeführt werden soll.	Today - nearly 43 years later - no completely satisfactory statistics have been established for this area.
Es handelt sich also um eine Verlängerung.	The debate this week about the registration of animals showed very clearly that 12 out of 15 countries had not even begun preparations for this work.
Erinnern wir uns einen Moment an die Entstehung des Vertrags von Rom im Jahre 1957: Die Landwirtschaft war der erste große Bereich, über den Vereinbarungen getroffen wurden.	Things are naturally interconnected.
Heute - fast 43 Jahre danach - gibt es noch immer keine vollständige, ausreichende Statistik auf diesem Gebiet.	Without registration, careful statistics cannot be kept and there are therefore, of course, opportunities for a series of errors regarding payments.
Die Debatte in dieser Woche über die Registrierung von Vieh hat mit aller Deutlichkeit gezeigt, daß 12 von 15 Ländern noch nicht einmal mit der Vorbereitung dieser Arbeit begonnen haben.	The Community makes contributions to offset the Member States' expenditure in connection with implementing the relevant arrangements.
Es gibt natürlich einen Zusammenhang.	It is therefore necessary that the Commission should now do some tightening up.
Ohne Registrierung kann keine genaue Statistik erstellt werden.	It cannot be the slowest countries which are to set the pace.
Deshalb sind natürlich Fehler in bezug auf die Auszahlungen möglich.	The Commission ought to set the agenda to a much greater degree and lead the Member States in accordance with the common resolutions.
Die Gemeinschaft leistet einen Beitrag zu den Ausgaben der Mitgliedstaaten bei der Umsetzung der Maßnahmen.	How can we envisage re-establishing consumer confidence in food following all the scandals when the EU cannot even implement its own resolutions?
Deshalb ist es erforderlich, daß die Kommission jetzt entschiedener handelt.	Food safety, risk assessment and the very concept of safety are such important areas that there is no avoiding them nowadays.
Das Tempo darf nicht von den langsamsten Ländern vorgegeben werden.	Allow me, therefore, quietly to ask: when are we to put our own house in order?
Die Kommission sollte die Tagesordnung in stärkerem Maße selbst festlegen und die Mitgliedsländer entsprechend den gemeinsamen Beschlüssen führen.	Finally, ladies and gentlemen, there is no reason to hesitate.
Wie will man nach den vielen Skandalen das Vertrauen der Verbraucher in die Lebensmittel wiedergewinnen, wenn die EU nicht einmal ihre eigenen Beschlüsse umsetzen kann?	The future belongs to those who prepare themselves for it.
Die Sicherheit der Lebensmittel, die Einschätzung des Risikos und auch der Sicherheitsbegriff selbst sind so wichtige Bereiche, daß man heute nicht umhin kann, diese Probleme anzusprechen.	Mr President, a little while ago another speaker again brought up the fact that the compulsory labelling system for beef is not to be introduced until 1.1.2001.
Ich möchte deshalb in aller Bescheidenheit fragen: Wann werden wir in unserem eigenen Haus Ordnung schaffen?	I am able to inform you that the Council has obviously adopted our demand to introduce this system by 1.9.
Zum Schluß, werte Kollegen: Wir dürfen nicht zaudern.	This represents a small victory for the European Parliament as far as the timeframe is concerned.
Die Zukunft gehört dem, der sich auf sie vorbereitet.	However, it did not reach this decision under the codecision procedure.
Herr Präsident, es wurde vorhin von einem Kollegen noch einmal gesagt, daß das obligatorische System der Kennzeichnung von Rindfleisch erst zum 1.1.2001 eingeführt werden soll.	This would have meant it also having to adopt all the other proposed amendments that we voted on here yesterday in the simplified procedure.
Ich kann Ihnen mitteilen, daß der Rat offensichtlich unsere Forderung, dies zum 1.9. einzuführen, übernommen hat.	Then all our proposed amendments would have been adopted in the codecision procedure.
Dies bedeutet einen kleinen Sieg für das Europäische Parlament, was die Zeit anbelangt.	Instead of which, the Council decided, under the old regulation 820/97, in accordance with Article 19 of the implementing rules, that the Member States now have the facility to continue with the voluntary system until 1.9.2000.
Er hat diesen Beschluß aber nicht im Rahmen des Mitentscheidungsverfahrens gefaßt.	I do not consider this to be the right strategy either.
Das hätte bedeutet, daß er alle anderen Anträge, über die wir gestern hier abgestimmt haben, auch im vereinfachten Verfahren hätte übernehmen müssen.	It does, however, go some way towards meeting European Parliament requirements.
Dann wäre im Mitentscheidungsverfahren alles von uns übernommen worden.	Apart from that, we are now going to continue with the codecision procedure for the other proposed amendments, which we voted on yesterday, for this process will run on after 1.1.2000.
Statt dessen hat er im Rahmen der alten Verordnung 820/97 gemäß Artikel 19 der Durchführungsbestimmungen entschieden, daß jetzt bis zum 1.9.2000 die Staaten die Möglichkeit haben, das freiwillige System weiterzuführen.	The Council must give its reaction to this.
Ich halte auch dies nicht für rechtens.	If it fails to adopt our proposed amendments then we will become involved in a conciliation procedure.
Es ist aber in der Sache ein Zugehen auf das Europäische Parlament.	All the other matters that we want to include in this regulation will therefore still be a matter for debate.
Ansonsten befinden wir uns jetzt mit den anderen Änderungsanträgen, über die wir gestern abgestimmt haben, weiter in dem Mitentscheidungsverfahren, denn das läuft jetzt über den 1.1.2000 hinaus.	I hope that we will be able to persuade the Council to adopt our proposals in this area too, and that it allows reason to prevail.
Der Rat muß darauf reagieren.	Mr President, following the entry into force of the Amsterdam Treaty the proposals concerning statistics, including agricultural statistics, are based on Article 285.
Wir werden, wenn er unsere Änderungsanträge nicht übernimmt, uns dann in einem Konzertierungsverfahren befinden.	It foresees adoption according to the codecision procedure.
Die ganzen anderen Angelegenheiten, die wir noch in diese Verordnung einbeziehen wollen, sind dann also noch in der Auseinandersetzung.	The proposal submitted today for your approval is the first example insofar as agricultural statistics are concerned.
Ich hoffe, daß wir auch da gegenüber dem Rat unsere Vorstellungen durchsetzen können, und daß der Rat auch hier Vernunft walten läßt.	I should like to thank the rapporteur, Mrs Redondo Jiménez, for her excellent work and, in particular, for her cooperation with the Council and the Commission on this dossier.
Seit Inkrafttreten des Vertrags von Amsterdam haben die Vorschläge zu Statistiken, darunter die Agrarstatistik, den Artikel 285 zur Grundlage.	The Commission is very pleased about the global support expressed in the report for the draft Council and Parliament decision.
Darin ist die Annahme mittels Mitentscheidungsverfahren vorgesehen.	The background is Council Decision 96/411(EC) on improving Community agricultural statistics.
Der heute unterbreitete Vorschlag, der von Ihnen angenommen werden soll, ist das erste Beispiel, in dem es um Agrarstatistik geht.	It has put at the Commission's disposal a flexible tool which allows it to adapt statistical applications to changes in information needs.
Ich möchte der Berichterstatterin, Frau Redondo Jiménez, für ihre ausgezeichnete Arbeit und speziell für ihre Zusammenarbeit mit dem Rat und der Kommission zu dieser Thematik danken.	This has helped to adapt the system of Community agricultural statistics to changes in the common agricultural policy.
Die Kommission ist sehr erfreut über die im Bericht über den Vorschlag für eine Entscheidung des Rates und des Parlaments geäußerte allseitige Unterstützung.	In its report to the European Parliament and the Council the Commission has presented an overview of the actions undertaken during the period 1996-1999 in different areas.
Hintergrund ist die Entscheidung des Rates 96/411/EG zur Verbesserung der Agrarstatistik der Gemeinschaft.	The overall assessment of these actions by the Commission is positive.
Damit wurde der Kommission ein flexibles Instrument an die Hand gegeben, mit dessen Hilfe statistische Anwendungen an veränderte Informationsbedürfnisse angepaßt werden können.	However, the process of adapting national statistical systems to the needs arising from the reform of the common agricultural policy has not yet been completed.
Die Anpassung des Systems der Agrarstatistik der Gemeinschaft an die veränderte Gemeinsame Agrarpolitik ist dadurch erleichtert worden.	The Commission has therefore proposed to extend for a further three years, with some minor changes, the validity of Decision 96/411(EC).
In ihrem Bericht an das Europäische Parlament und den Rat gab die Kommission eine Übersicht über die Aktionen, die im Zeitraum 1996-1999 in verschiedenen Bereichen durchgeführt wurden.	The changes are mainly aimed at either simplifying the implementation of this action programme or at reducing the delay for paying the Community contribution.
Diese Aktionen werden von der Kommission insgesamt positiv bewertet.	It is important to ensure that this new decision enters into force as soon as possible in order to avoid a vacuum in the present legislation.
Allerdings ist der Anpassungsprozeß der nationalen Statistiksysteme an die aus der Reform der Gemeinsamen Agrarpolitik resultierenden Erfordernisse noch nicht ganz abgeschlossen.	An effort should be made to adopt this proposal after first reading.
Aus diesem Grunde hat die Kommission vorgeschlagen, die Gültigkeit der Entscheidung 96/411/EG mit einigen unwesentlichen Änderungen um weitere drei Jahre zu verlängern.	As concerns Mrs Redondo Jiménez's report, the Commission can accept Amendments Nos 1, 2 and 3.
Die Änderungen zielen hauptsächlich entweder auf die Vereinfachung der Durchführung dieses Aktionsprogramms oder auf die Verkürzung der Zahlungsfrist für den Gemeinschaftsbeitrag ab.	The Commission cannot, however, accept Amendment No 4, even in its new, modified version.
Diese neue Entscheidung sollte unbedingt so schnell wie möglich in Kraft treten, um ein Vakuum in den derzeitigen Rechtsvorschriften zu vermeiden.	This amendment would still imply some new obligations for Member States which have not yet been discussed in the Council.
Wir sollten darauf hinarbeiten, diesen Vorschlag nach erster Lesung anzunehmen.	This would certainly prevent the adoption of the proposal in the Council at first reading.
Was den Bericht von Frau Redondo Jiménez betrifft, so kann die Kommission die Änderungsanträge 1, 2 und 3 akzeptieren.	Nevertheless, the Commission agrees with the rapporteur that the additional information requested by this amendment would indeed be useful in order to have a better idea of the distribution of aid paid in the context of the common agricultural policy.
Allerdings kann sie Änderungsantrag 4, auch in seiner neuen, verbesserten Fassung, nicht annehmen.	The Commission will therefore commit itself to include such actions in the next technical programmes, starting from 2001, in view of encouraging progress in this area.
Dieser Änderungsantrag würde einige neue Verpflichtungen für die Mitgliedstaaten beinhalten, die im Rat noch nicht erörtert worden sind.	We hope that this may reassure the European Parliament about our intentions and may lead Mrs Redondo Jiménez to withdraw this amendment in order to allow the proposal to be adopted at first reading.
Dadurch würde die Annahme des Vorschlags im Rat in erster Lesung sicherlich verhindert werden.	- (ES) Mr President, I have to point out to the Commission that it is not an amendment by the rapporteur, but an amendment by the Committee on Agriculture and, therefore, it is voted on in committee and, in accordance with the Rules of Procedure, it cannot be withdrawn.
Nichtsdestotrotz stimmt die Kommission mit dem Berichterstatter darin überein, daß die in diesem Änderungsantrag geforderten zusätzlichen Informationen in der Tat von Nutzen wären, um einen besseren Überblick über die gezahlten Beihilfen im Zusammenhang mit der Gemeinsamen Agrarpolitik zu erlangen.	Also, Amendment No 5, which would cause No 4 to lapse - which is the one that I hope the Commission will accept - only affects the Commission, not the Council.
Die Kommission verpflichtet sich daher, solche Aktionen in den kommenden technischen Programmen, die im Jahre 2001 beginnen, zu berücksichtigen, um Fortschritte in diesen Bereichen zu erzielen.	Its content is already regulated by the new Regulation 2390/99, which will be coming into force.
Wir hoffen, daß das Europäische Parlament dadurch sieht, was wir vorhaben, und daß Frau Redondo Jiménez ihren Änderungsantrag zurückzieht, damit der Vorschlag in erster Lesung angenommen werden kann.	Furthermore, the amendment does not include any additional obligation for the Commission.
.	Therefore, I hope that the Commission will accept it, because we have provided all the means for this proposal to be approved at first reading.
(ES) Herr Präsident!	Mr President, just a short comment on Amendment No 5.
Ich muß der Kommission erläutern, daß es sich nicht um einen Änderungsantrag der Berichterstatterin sondern des Landwirtschaftsausschusses handelt, und deshalb wurde über ihn im Ausschuß abgestimmt und kann nach der Geschäftsordnung nicht zurückgezogen werden.	Unfortunately, we are not able to accept Amendment No 5 because we know that the Council would not accept it.
Änderungsantrag 5, durch den die Nummer 4 hinfällig würde - von dem ich hoffe, daß er von der Kommission akzeptiert wird -, betrifft nur die Kommission, nicht den Rat.	The debate is closed.
Sein Inhalt ist bereits durch die neue Verordnung 2390/99, die in Kraft treten wird, geregelt.	We shall now proceed to the vote.
Der Änderungsantrag schließt darüber hinaus keine zusätzliche Verpflichtung für die Kommission ein.	(Parliament approved the legislative resolution) EXPLANATION OF VOTE
Daher erwarte ich, daß die Kommission ihn akzeptiert, denn wir haben alles darangesetzt, damit dieser Vorschlag in erster Lesung gebilligt wird.	Mr President, as the applause for the rapporteur, Mrs Redondo Jiménez, confirmed, this is one of the most important measures we have voted on.
Herr Präsident, lediglich eine kurze Einlassung zum Änderungsantrag 5. Wir sehen uns leider außerstande, Änderungsantrag 5 anzunehmen, da wir wissen, daß der Rat ihn nicht genehmigen wird.	Indeed, in my opinion, statistics are fundamental and in Italy we are in the most terrible chaos as regards the statistics on milk from our cows.
Die Aussprache ist geschlossen.	Therefore, I voted for the report and I would like to express the hope that statistics will also be gathered on the number of pensioners in the fifteen Member States.
Wir kommen nun zur Abstimmung.	Many people say there are too many of them, but I say there are too few: statistics will allow us to ascertain their number.
(Das Parlament nimmt die legislative Entschließung an.)	For my part, I would like there to be more and more of them, because 'it is great being a pensioner' .
Erklärung zur Abstimmung	COM in hops
Herr Präsident, wie der Beifall für die Berichterstatterin Redondo Jiménez bestätigt hat, ist dies eine der wichtigsten Maßnahmen, über die wir abgestimmt haben.	The next item is the debate on the report (A5-0083/1999) by Mr Xaver Mayer, on behalf of the Committee on Agriculture and Rural Development, on the proposal for a Council regulation (EC) amending Regulation (EEC) 1696/71 on the common organisation of the market in hops [COM(1999) 302 - C5­0081/1999 - 1999/0128(CNS)].
Statistiken sind meines Erachtens wirklich von entscheidender Wichtigkeit, und in Italien herrscht, was die Statistik über die Milchproduktion unserer Kühe betrifft, ein absolutes Chaos.	Mr President, Commissioner, five minutes are enough for a Friday.
Deshalb habe ich für den Bericht gestimmt und möchte der Hoffnung Ausdruck verleihen, daß auch Statistiken über die Zahl der Rentner in den fünfzehn Mitgliedstaaten erstellt werden.	I had actually anticipated having less time, which means that I can make a few additional comments and still keep to my time.
Viele erklären, es gäbe zu viele Rentner, ich sage, es sind wenig: Mit Hilfe der Statistik werden wir die Frage klären können.	Hops are a special kind of plant.
Ich für meinen Teil wünschte, die Rentner würden immer zahlreicher, denn "das Rentnerdasein ist schön ".	After all, they add flavour and wort to this important popular foodstuff we call beer.
GMO für Hopfen	(Applause)
Nach der Tagesordnung folgt die Aussprache über den Bericht (A5-0083/1999) von Herrn Xaver Mayer im Namen des Ausschusses für Landwirtschaft und ländliche Entwicklung über den Vorschlag für eine Verordnung (EG) des Rates zur Änderung der Verordnung (EWG) 1696/71 über die gemeinsame Marktorganisation für Hopfen (KOM(1999) 302 - C5­0081/1999 - 1999/0128(CNS))	Truth is to be found not just in wine but also in beer.
Herr Präsident, Frau Kommissarin!	This is particularly important in the case of Bavaria, the land I come from and where this foodstuff we call beer has had an important role to play, both in terms of development down through the ages and the population' s outlook.
Fünf Minuten für Freitag sind genug.	Weißbier is, of course, a special kind of beer; it is well known in Munich and many people enjoy the taste.
Eigentlich habe ich mich auf weniger Zeit eingestellt, aber dann kann ich noch einige zusätzliche Anmerkungen machen und werde trotzdem nicht überziehen.	It is true that hops would grow almost anywhere but it takes people with special qualities to give the hops the care they need, so as to ensure a successful crop.
Hopfen ist eine besondere Pflanze.	There are a number of sayings about this, such as Der Hopf ist ein Tropf (hops are little rascals), which may prove rather difficult to translate but literally means: hops are a fickle crop that rewards careful tending particularly well but also makes one pay for sloppy work.
Er bringt letztendlich Geschmack und Würze in dieses wichtige Volksnahrungsmittel Bier.	Hops also expect a daily visit from the master.
(Beifall)	What all this amounts to is that hops are a very labour-intensive crop and therefore tend to be more widespread amongst people of an industrious bent.
Nicht nur im Wein liegt die Wahrheit, auch im Bier.	That explains why a large hop cultivation area has grown up where I come from.
Das ist gerade für Bayern besonders wichtig, das Land, aus dem ich komme und in dem dieses Produkt Bier, dieses Nahrungsmittel Bier in der historischen Entwicklung, wie aber auch in der Einstellung der Bevölkerung eine große Rolle gespielt hat.	In central Bavaria, the Hallertau, a large hop cultivation area - in fact the largest in the world, because approximately one quarter of production derives from the Hallertau - has been developing over the last 150 years or more.
Weißbier ist natürlich eine besondere Form des Bieres; es ist in München bekannt und schmeckt vielen.	Of course that is why this issue is of particular significance for Bavaria and for myself as a native of Bavaria.
Hopfen würde zwar fast überall wachsen, aber es gehören auch besondere Menschen dazu, um den Hopfen entsprechend zu pflegen, damit der Hopfenanbau erfolgreich ist.	(Applause)
Dazu gibt es auch einige Sprüche: Der Hopf ist ein Tropf, das ist vielleicht etwas schwierig zu übersetzen, soll sagen: Der Hopfen ist eine launische Frucht, die gute Pflege besonders belohnt, aber auch schlampige Arbeit bestraft.	I would like to again emphasise the fact that hops and beer made from hops could be said to stand for sociableness, for relaxation even.
Zum anderen, der Hopfen will täglich seinen Herrn sehen.	Incidentally, hops are also used for medicinal purposes.
Das besagt, daß Hopfen eine sehr arbeitsintensive Frucht ist und sich deshalb bei den fleißigen Menschen mehr verbreitet.	Bavaria is primarily famous for being the land of beer, but also for being the land of tradition and progress.
So ist bei uns ein größeres Anbaugebiet entstanden.	You are bound to have often heard it said that tradition and progress are rated particularly highly in Bavaria.
In der Mitte von Bayern, in der Hallertau, hat sich seit mehr als 150 Jahren ein großes Hopfenanbaugebiet entwickelt, das größte in der gesamten Welt, denn ungefähr ein Viertel der Produktion stammt aus der Hallertau.	Indeed, the lederhosen and laptop saying is often quoted by Bavaria' s leader Mr Stoiber.
Deshalb ist dieses Thema für Bayern und für mich als Bayer natürlich auch wichtig.	Bavaria is not just famous for the Oktoberfest in Munich but also for its high tech.
(Beifall)	It is not without reason that the world famous University of Brewing of Munich-Weihenstephan is located in Bavaria.
Ich möchte noch einmal unterstreichen, Hopfen und Bier aus Hopfen steht ja irgendwo für Gemütlichkeit, sogar für Beruhigung.	It has disseminated a great deal of knowledge to the world and has heavily influenced both hop cultivation and beer production in the far-flung corners of China and Russia, and even in the USA.
Hopfen wird übrigens auch als Medizin eingesetzt.	Hence another saying: Hopfen und Malz, Gott erhalt' s (hops and malt, may God preserve them).
Bayern ist besonders bekannt als Land des Bieres, aber auch als Land von Tradition und Fortschritt.	This is important, also with regard to the regulation put forward by the Commission.
Sie haben sicherlich schon oft gehört, daß Tradition und Fortschritt in Bayern als besonders wichtig angesehen werden.	I had a few other comments I wanted to make but I must keep within my time.
Der Spruch von Lederhose und Laptop wird ja auch von Ministerpräsident Stoiber häufig verwendet.	I now come to the regulation and the report.
Der Standort Bayern ist nicht nur für das Oktoberfest in München, sondern auch für High Tech bekannt.	It all boils down to the fact that many provisions in this area can no longer be used owing to their no longer being valid or due to the implications of the common organisation of the markets for hops.
Nicht umsonst steht auch die weltbekannte Brauuniversität München-Weihenstephan eben in Bayern.	What it amounts to is that there is no longer a requirement to draft a major report annually, rather, owing to the fact that grants have been established for a period of five years, a report only has to be submitted once every five years from now on.
Von dieser Stätte aus gingen viele Erkenntnisse in die Welt und haben den Hopfenanbau ebenso wie die Herstellung des Bieres bis nach China, Rußland oder auch bis in die USA sehr stark beeinflußt.	Commissioner, I consider this plan to be right-minded, but with one minor reservation.
Deshalb gibt es dort auch den Spruch "Hopfen und Malz, Gott erhalt's ".	It is only right, in view of the vast experience we have accumulated in Bavaria, that we should also pay a little more attention to the situation there, hence my suggestion that we must ensure that, as is already the case, the annual collection of data relating to the development of the areas under cultivation, demand, the spread of different types, prices, and also cultivation development, proceeds uninterrupted in the individual Member States, and that this information is made available to all concerned on an annual basis.
Das ist wichtig, auch für diese von der Kommission vorgeschlagene Verordnung.	I have obtained the Commission' s consent for this to be done over the Internet.
Ich hätte noch ein paar Anmerkungen, aber ich muß mich an die Zeit halten.	This is why I have put forward two amendments and I call upon Parliament to vote in favour of them.
Ich komme nun zu der Verordnung und zu dem Bericht.	I know, however, that the Commission does not look very kindly upon these proposed amendments.
Es geht im wesentlichen darum, daß hier manche Regelungen aufgrund abgelaufener Geltungsdauer oder auch des Inhalts der gemeinsamen Marktorganisation für Hopfen nicht mehr anwendbar sind.	However, Parliament is something of a different kettle of fish to the Commission in my view.
Es kommt dazu, daß nicht mehr jährlich ein großer Bericht erstellt werden muß, sondern wegen der Festlegung der Beihilfe auf fünf Jahre muß nur mehr alle fünf Jahre ein Bericht vorgelegt werden.	That is why I am asking for your support.
Dieses Vorhaben, Frau Kommissarin, sehe ich als richtig an, aber mit einer kleinen Einschränkung.	(Laughter, applause)
Aufgrund unserer großen Erfahrung in Bayern müssen wir hier auch etwas besser aufpassen.	Mr Mayer, I trust that after the sitting you will offer us a tasting.
So schlage ich vor, daß sichergestellt werden muß, daß wie bisher die jährliche Erfassung von Daten bezüglich der Entwicklung der Anbauflächen, der Nachfrage, der Verbreitung der verschiedenen Sorten, der Preise sowie der Anbauentwicklung in den einzelnen Mitgliedsländern vorgenommen wird und daß diese Angaben den Beteiligten jährlich zur Verfügung gestellt werden.	Mr President, I sent an invite for a beer-tasting session about three weeks ago and it was very much to the taste of all those that received and took up the invitation.
Ich habe die Zusage von der Kommission, daß dies über das Internet geschehen soll.	I have no doubt, Mr Mayer.
